subid,balanced,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,response,Mood,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,BRCS,LSAS,LSAS_FEAR,LSAS_AVOIDANCE,CESD,UCLA_loneliness,BISBAS_BIS,BISBAS_BASRR,BISBAS_FS,BISBAS_BASD,RSE,STAI,UM_AFFILIATION,UM_INTIMACY,COVIDexperience_score,COVIDimpacts_score,COVIDthreat_score,COVIDpsychstress_score,MSSSF
55a43687fdf99b7da1908e0f,0,35,0.05,0.02,0,0.02,4.9579,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,36,0.05,0.01,0,0.01,1.1504,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,37,0.01,0.04,1,0.01,0.9668,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,38,0.01,0.04,1,0.01,0.8834,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,39,0.05,0.02,0,0.02,0.7998,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,40,0.03,0.02,0,0.02,0.9167,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,41,0.05,0.01,0,0.01,1.4175,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,42,0.03,0.03,1,0.03,3.3211,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,43,0.01,0.05,1,0.01,1.6514,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,44,0.02,0.03,1,0.02,2.7701,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,45,0.05,0.03,0,0.03,2.7202,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,46,0.05,0.03,1,0.05,5.2081,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,47,0.02,0.02,1,0.02,4.0892,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,48,0.01,0.03,1,0.01,1.1844,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,49,0.03,0.05,1,0.03,1.2507,1,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55a43687fdf99b7da1908e0f,0,50,0.03,0.01,0,0.01,1.2841,2,10,16,7,74,18,24,9,23,16,38,8,0,0,36,0,0,0,0,35,44,23,37,17,56,22,18,36
55ea70c37480920010aa9982,0,1,0.01,0.05,0,0.05,2.608999968,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,2,0.01,0.04,0,0.04,2.463000059,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,3,0.01,0.03,0,0.03,2.465000153,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,4,0.02,0.05,0,0.05,2.852999926,2,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
55ea70c37480920010aa9982,0,5,0.01,0.04,0,0.04,1.92599988,1,22,17,5.75,45,11,6,5,23,16,32,2,0,3,35,0,0,0,0,40,20,17,18,14,18,14,2,25
