,participant,balanced,avg_spent_social,avg_spent_nonsocial,total_spent_social,total_spent_nonsocial,prop_social,prop_nonsocial,moresocial,prop_moresocial,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT,BRCS
96,5f8dd51f6d2378145bf99cdc,0,0.034117647,0.03,0.58,0.9,0.361702128,0.638297872,1,0,17,5.166666667,51,17,19,3,12,12.0
97,5f8f0ae15fe9e60fbbbaead9,1,0.033333333,0.030769231,0.8,0.8,0.48,0.52,1,0,12,4.833333333,69,17,17,13,22,17.0
98,5f90581950d8520e8c7d3890,1,0.03,0.035,1.35,0.14,0.918367347,0.081632653,0,1,14,7.0,81,21,28,4,28,20.0
99,5f94977cf830e82e361b9de1,1,0.03,0.030882353,0.48,1.05,0.32,0.68,0,0,18,4.333333333,66,15,24,10,17,18.0
100,5f95a44920f542417f4263cb,1,0.025789474,0.03,0.49,0.93,0.38,0.62,0,0,31,3.916666667,51,25,8,12,6,11.0
101,5f963718a844b719781e9e85,1,0.022222222,0.025,0.4,0.8,0.36,0.64,0,0,30,4.416666667,59,14,23,8,14,17.0
102,5fb2cbcafa4c009546a700e2,1,0.021923077,0.022083333,0.57,0.53,0.52,0.48,0,1,11,6.0,70,22,20,7,21,18.0
103,5fbd2fffbbfb2d070580d353,0,0.028421053,0.028387097,0.54,0.88,0.38,0.62,1,0,21,6.666666667,72,27,21,11,13,17.0
104,5fc340bd24fdca1666b95a7a,1,0.030869565,0.02962963,0.71,0.8,0.46,0.54,1,0,30,3.0,76,21,21,14,20,12.0
105,5fc6942053f904134079ad42,1,0.031851852,0.030526316,0.86,0.58,0.586956522,0.413043478,1,1,20,4.666666667,84,24,27,14,19,16.0
106,5fcd31e19fd435c2162f2869,0,0.026,0.020666667,0.91,0.31,0.7,0.3,1,1,7,6.333333333,85,28,26,9,22,18.0
107,5fcd879848ac3ace45ea7afe,1,0.020833333,0.028947368,0.25,1.1,0.24,0.76,0,0,21,1.0,49,18,13,7,11,16.0
108,5fdc9c593986cc1cfdc5635b,1,0.032666667,0.03,0.49,1.05,0.3,0.7,1,0,22,3.75,66,19,20,8,19,15.0
109,5ff0a56b116bbf440e520992,0,0.037692308,0.031363636,0.98,0.69,0.541666667,0.458333333,1,1,15,7.0,77,16,27,7,27,20.0
110,5ff37f2588f05799fa9a9873,0,0.028928571,0.0245,0.81,0.49,0.583333333,0.416666667,1,1,12,6.583333333,87,21,26,20,20,16.0
111,6007776684975127676717c4,1,0.032857143,0.029722222,0.46,1.07,0.28,0.72,1,0,16,4.416666667,57,12,16,12,17,14.0
112,600e373ea7a2226d059a4a98,1,0.036296296,0.036521739,0.98,0.84,0.54,0.46,0,1,12,6.833333333,54,19,7,3,25,19.0
113,600e661d49a93a6ec48ebb45,1,0.0,0.03,0.0,1.5,0.0,1.0,0,0,41,1.583333333,55,15,13,14,13,10.0
114,600ecc3692aa597c9a274833,0,0.02375,0.022307692,0.57,0.58,0.48,0.52,1,0,24,5.666666667,78,22,25,12,19,15.0
115,60147e2f651575230ac1b072,1,0.030666667,0.030333333,0.46,0.91,0.333333333,0.666666667,1,0,32,3.083333333,37,9,9,5,14,15.0
116,6016f95c56f32e8df6e841af,0,0.016521739,0.01962963,0.38,0.53,0.46,0.54,0,0,13,4.416666667,51,8,16,8,19,17.0
117,60255901704fd208ecdcf32b,1,0.020833333,0.023846154,0.5,0.62,0.48,0.52,0,0,23,4.416666667,73,14,24,19,16,15.0
118,603440a22603172572f9c1b2,1,0.028064516,0.029473684,0.87,0.56,0.62,0.38,0,1,28,4.666666667,59,20,16,10,13,13.0
119,6039643eab9d3741232583d0,1,0.025294118,0.02125,0.86,0.34,0.68,0.32,1,1,11,7.0,79,26,26,8,19,17.0
120,604557dd82b57569031a1da8,0,0.029090909,0.027058824,0.96,0.46,0.66,0.34,1,1,14,5.583333333,62,16,20,11,15,14.0
121,604a7ee304a949c38ab69799,0,0.031724138,0.031904762,0.92,0.67,0.58,0.42,0,1,17,3.75,59,10,13,13,23,17.0
122,60777f3aa41a5f7832560cb8,1,0.029705882,0.02375,1.01,0.38,0.68,0.32,1,1,15,5.916666667,70,20,23,7,20,18.0
123,6085bb66296b0a411198d8fd,1,0.0225,0.021818182,0.63,0.48,0.56,0.44,1,1,20,6.0,51,5,18,4,24,17.0
124,6091ab55ea2e97910519f8e7,1,0.037916667,0.037307692,0.91,0.97,0.48,0.52,1,0,29,1.0,76,24,17,13,22,15.0
125,60a647cf71f87619eeed97ea,0,0.041111111,0.036521739,1.11,0.84,0.54,0.46,1,1,15,6.333333333,68,16,23,13,16,16.0
126,60b0334a2e48ac0856f33161,0,0.02,0.02137931,0.42,0.62,0.42,0.58,0,0,18,5.75,87,22,25,20,20,13.0
127,60b68b39a12ec1444b254396,1,0.026363636,0.024642857,0.58,0.69,0.44,0.56,1,0,20,5.75,58,15,15,9,19,18.0
128,60b7b7db631266ca06388068,1,0.028095238,0.0275,1.18,0.22,0.84,0.16,1,1,14,5.833333333,83,18,26,16,23,18.0
129,60bd4bfc88b646e72d772977,1,0.027894737,0.02516129,0.53,0.78,0.38,0.62,1,0,25,7.0,62,9,17,25,11,18.0
130,60c357a0a275dce4c49ddefc,0,0.035,0.031818182,0.98,0.7,0.56,0.44,1,1,13,6.416666667,90,22,27,13,28,18.0
131,60c5b99d82cd6a9ad6e24f75,0,0.0325,0.027878788,0.52,0.92,0.326530612,0.673469388,1,0,19,5.75,95,24,27,18,26,15.0
132,60d1af27fbac62dfb9687c96,1,0.026944444,0.027857143,0.97,0.39,0.72,0.28,0,1,26,5.333333333,70,17,20,15,18,15.0
133,60d86d6c0f4b31dab174a376,0,0.0284,0.0256,0.71,0.64,0.5,0.5,1,0,27,4.583333333,49,6,18,13,12,10.0
134,60da4f9aa1ced7efeecca18a,1,0.022173913,0.022222222,0.51,0.6,0.46,0.54,0,0,31,5.0,46,14,11,8,13,16.0
135,60daada33618b36687776207,1,0.038148148,0.037826087,1.03,0.87,0.54,0.46,1,1,18,4.333333333,50,5,20,8,17,15.0
136,60db64e309afd89c90c7fcd8,1,0.030333333,0.029411765,0.91,0.5,0.638297872,0.361702128,1,1,15,5.25,63,14,23,3,23,16.0
137,60dbf15243bf8d31a96ed803,0,0.039285714,0.038636364,1.1,0.85,0.56,0.44,1,1,16,6.333333333,75,21,21,15,18,18.0
138,60dca5d351d99ef73b2f8994,0,0.031612903,0.03,0.98,0.57,0.62,0.38,1,1,20,4.916666667,78,21,28,2,27,20.0
139,60dd5577b29a08bcb068a5d8,0,0.022307692,0.0225,0.58,0.54,0.52,0.48,0,1,21,5.583333333,65,15,19,12,19,16.0
140,60ddb1b050d121b8fbc0349a,0,0.033823529,0.03,1.15,0.48,0.68,0.32,1,1,18,5.583333333,55,9,18,7,21,16.0
141,60ddcbb80c73eaf8ceca130e,0,0.034090909,0.029259259,0.75,0.79,0.448979592,0.551020408,1,0,22,6.0,70,14,24,12,20,15.0
142,60e024be16fcfabbaac7d3ae,0,0.032195122,0.038888889,1.32,0.35,0.82,0.18,0,1,21,4.25,59,16,14,15,14,12.0
143,60e040c54dc298116f43aae7,0,0.038636364,0.030714286,0.85,0.86,0.44,0.56,1,0,13,6.916666667,71,16,24,6,25,16.0
