subid,subtrial,social_money,nonsocial_money,exp_chosen,decision_price,reaction_time,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT
5f793609f8089e53266336f5,23,0.02,0.05,1,0.02,1.3638,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,24,0.02,0.01,1,0.02,1.1292,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,25,0.05,0.02,0,0.02,1.1231,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,26,0.05,0.05,1,0.05,3.2504,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,27,0.04,0.02,0,0.02,2.0122,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,28,0.05,0.01,1,0.05,1.5294,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,29,0.04,0.01,1,0.04,1.5899,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,30,0.01,0.03,1,0.01,2.3556,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,31,0.04,0.03,1,0.04,1.8732,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,32,0.01,0.04,1,0.01,1.8869,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,33,0.05,0.01,1,0.05,1.6722,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,34,0.04,0.02,1,0.04,2.509,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,35,0.01,0.03,0,0.03,2.6196,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,36,0.02,0.04,1,0.02,5.9187,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,37,0.04,0.04,1,0.04,2.0834,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,38,0.05,0.02,1,0.05,2.3561,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,39,0.01,0.01,1,0.01,1.9704,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,40,0.03,0.04,1,0.03,2.4147,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,41,0.02,0.04,1,0.02,2.2228,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,42,0.03,0.01,1,0.03,3.1374,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,43,0.02,0.01,1,0.02,1.3756,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,44,0.04,0.03,1,0.04,1.5624,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,45,0.03,0.05,1,0.03,0.9877,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,46,0.05,0.03,1,0.05,1.6434,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,47,0.01,0.05,1,0.01,1.215,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,48,0.03,0.01,1,0.03,1.3059,19,6.5,76,18,20,13,25
5f793609f8089e53266336f5,49,0.02,0.02,1,0.02,0.7821,19,6.5,76,18,20,13,25
